start	end	probability	word
52.340000	52.480000	0.999158	 at
52.480000	52.620000	0.951567	 the
52.620000	52.840000	0.334073	 tills
52.840000	52.980000	0.920794	 and
52.980000	53.200000	0.993143	 crowds
53.200000	53.580000	0.999420	 downstairs
55.220000	55.460000	0.069114	 Could
55.460000	55.640000	0.994611	 see
55.640000	55.720000	0.989959	 a
55.720000	55.940000	0.996946	 film
55.940000	56.120000	0.991618	 at
56.120000	56.240000	0.955539	 the
56.240000	56.880000	0.962338	 marina
56.880000	57.140000	0.315604	 Big
57.140000	57.360000	0.976209	 screen
57.360000	57.640000	0.438241	 popcorn
57.640000	58.080000	0.315078	 comfy
58.080000	58.540000	0.631831	 seat
58.540000	58.800000	0.248359	 But
58.800000	59.040000	0.979181	 the
59.040000	59.200000	0.998777	 ticket
59.200000	59.420000	0.997080	 price
59.420000	59.600000	0.982503	 nearly
59.600000	59.860000	0.997843	 made
59.860000	60.040000	0.998397	 me
60.040000	60.300000	0.997612	 cry
60.300000	60.620000	0.940589	 So
60.620000	60.860000	0.976881	 I'll
60.860000	61.040000	0.997357	 give
61.040000	61.240000	0.996638	 that
61.240000	61.460000	0.996641	 one
61.460000	61.680000	0.991085	 a
61.680000	61.900000	0.994041	 miss
61.900000	62.300000	0.993001	 tonight
62.300000	63.060000	0.967747	 There
63.060000	63.340000	0.998935	 must
63.340000	63.520000	0.999428	 be
63.520000	64.020000	0.968410	 something
64.020000	64.540000	0.646689	 There
64.540000	65.080000	0.999305	 must
65.080000	65.320000	0.999731	 be
65.320000	65.800000	0.993459	 somewhere
65.800000	66.380000	0.992697	 I've
66.380000	66.580000	0.998749	 got
66.580000	66.740000	0.998379	 the
66.740000	66.940000	0.998579	 whole
66.940000	67.140000	0.997855	 of
67.140000	67.540000	0.997871	 Brighton
67.540000	67.680000	0.765256	 But
67.680000	67.820000	0.998406	 I
67.820000	68.080000	0.999326	 don't
68.080000	68.200000	0.603828	 wanna
68.200000	68.400000	0.998772	 go
68.400000	68.940000	0.998604	 anywhere
70.460000	70.940000	0.940609	 Donatello's
70.940000	71.040000	0.922818	 not
71.040000	71.480000	0.998085	 hungry
71.480000	71.840000	0.963624	 The
71.840000	72.280000	0.447913	 boldplex
72.280000	72.700000	0.978251	 can't
72.700000	72.820000	0.151742	 go
72.820000	73.200000	0.999056	 straight
73.200000	73.740000	0.975623	 West
73.740000	74.080000	0.585816	 Street
74.080000	74.340000	0.340858	 to
74.340000	74.840000	0.333638	 lefty
74.840000	75.320000	0.973786	 So
75.320000	75.480000	0.988669	 where
75.480000	75.540000	0.903339	 we
75.540000	75.780000	0.956692	 going?
76.000000	76.460000	0.994718	 Brighton
76.460000	76.620000	0.940309	 Beach
76.620000	76.820000	0.936923	 So
76.820000	77.040000	0.997761	 what
77.040000	77.420000	0.995778	 shall
77.420000	77.720000	0.999775	 we
77.720000	78.020000	0.999785	 do?
78.120000	78.600000	0.997924	 Where
78.600000	79.180000	0.997374	 shall
79.180000	79.500000	0.999695	 we
79.500000	79.700000	0.999516	 be?
79.820000	80.160000	0.997164	 Let's
80.160000	80.320000	0.997367	 just
80.320000	80.540000	0.998366	 go
80.540000	80.800000	0.998449	 down
80.800000	81.220000	0.999246	 Brighton
81.220000	81.460000	0.990362	 Beach
81.460000	81.680000	0.075309	 And
81.680000	81.900000	0.932598	 draw
81.900000	82.440000	0.954352	 dicks
82.440000	82.760000	0.982611	 on
82.760000	83.400000	0.989571	 pebbles
83.400000	83.640000	0.479793	 Get
83.640000	84.060000	0.932334	 chips
84.060000	84.600000	0.946768	 and
84.600000	85.080000	0.765894	 ketchup
85.080000	85.600000	0.905225	 for
85.600000	85.860000	0.961075	 tea
87.960000	88.440000	0.736120	 I
88.440000	88.920000	0.891974	 could
88.920000	89.100000	0.989903	 go
89.100000	89.580000	0.987809	 bowling
89.580000	89.880000	0.262131	 But
89.880000	90.080000	0.989923	 here's
90.080000	90.100000	0.995414	 the
90.100000	90.320000	0.998267	 thing
90.320000	90.540000	0.727764	 I
90.540000	90.760000	0.983100	 aim
90.760000	90.880000	0.996681	 for
90.880000	90.980000	0.996699	 the
90.980000	91.200000	0.998921	 middle
91.200000	91.340000	0.760045	 and
91.340000	91.500000	0.997126	 hit
91.500000	91.960000	0.996066	 everything
91.960000	92.340000	0.964796	 Except
92.340000	92.620000	0.989205	 for
92.620000	92.760000	0.993924	 the
92.760000	92.920000	0.997360	 pins
92.920000	93.120000	0.964588	 that
93.120000	93.160000	0.979741	 are
93.160000	93.340000	0.996829	 straight
93.340000	93.600000	0.990032	 ahead
93.600000	93.880000	0.978593	 The
93.880000	94.020000	0.979731	 ball
94.020000	94.180000	0.990826	 goes
94.180000	94.480000	0.997818	 left
94.480000	94.660000	0.866770	 and
94.660000	94.740000	0.990267	 I
94.740000	94.900000	0.986810	 turn
94.900000	95.140000	0.998152	 bright
95.140000	95.440000	0.994365	 red
95.440000	95.700000	0.985948	 I
95.700000	95.980000	0.998817	 could
95.980000	96.240000	0.992148	 go
96.240000	96.500000	0.973072	 dancing
96.500000	96.660000	0.921946	 down
96.660000	96.860000	0.023933	 West
96.860000	97.120000	0.921371	 Street
97.120000	97.420000	0.786331	 Neon
97.420000	97.740000	0.975729	 lights
97.740000	97.960000	0.777837	 and
97.960000	98.040000	0.973427	 a
98.040000	98.240000	0.868102	 4
98.240000	98.440000	0.858698	-4
98.440000	98.660000	0.900680	 beat
98.660000	98.880000	0.948207	 But
98.880000	99.020000	0.184868	 both
99.020000	99.100000	0.963177	 of
99.100000	99.260000	0.998949	 my
99.260000	99.540000	0.999271	 feet
99.540000	99.760000	0.674262	 wanna
99.760000	100.000000	0.991050	 lead
100.000000	100.120000	0.998076	 the
100.120000	100.320000	0.999245	 way
100.320000	100.520000	0.965432	 And
100.520000	100.640000	0.844962	 neither
100.640000	100.820000	0.996119	 one
100.820000	101.100000	0.997445	 knows
101.100000	101.220000	0.991580	 how
101.220000	101.340000	0.998932	 to
101.340000	101.720000	0.998609	 dance
101.720000	102.060000	0.931902	 anyway
102.060000	102.740000	0.971022	 So
102.740000	103.060000	0.988598	 grab
103.060000	103.260000	0.988113	 that
103.260000	104.080000	0.688232	 sharpie,
104.080000	104.560000	0.984014	 come
104.560000	104.960000	0.999640	 with
104.960000	105.340000	0.999614	 me
105.900000	106.380000	0.977740	 We'll
106.380000	106.580000	0.999053	 make
106.580000	106.760000	0.999045	 some
106.760000	107.120000	0.995593	 art
107.120000	107.840000	0.914356	 beside
107.840000	108.540000	0.997979	 the
108.540000	108.820000	0.957705	 sea
109.400000	109.880000	0.978950	 The
109.880000	110.140000	0.605133	 goals
110.140000	110.300000	0.995817	 can
110.300000	110.640000	0.996914	 judge
110.640000	111.140000	0.999775	 us
111.460000	111.640000	0.333570	 Let
111.640000	111.940000	0.980257	 them
111.940000	112.300000	0.991745	 be
112.300000	113.420000	0.685481	 We've
113.420000	113.640000	0.992725	 got
113.640000	114.080000	0.686559	 chips
115.260000	115.980000	0.404949	 And
115.980000	116.700000	0.532168	 ketchup
116.700000	117.340000	0.717221	 for
117.340000	117.580000	0.820148	 tea
117.580000	118.540000	0.738872	 Donatello's
118.540000	118.640000	0.989938	 not
118.640000	119.060000	0.997782	 hungry
119.060000	119.400000	0.804351	 The
119.400000	119.860000	0.441159	 boldplex
119.860000	120.300000	0.981842	 can't
120.300000	120.360000	0.074971	 go
120.360000	120.720000	0.958088	 straight
120.720000	121.320000	0.851554	 West
121.320000	121.680000	0.504672	 Street
121.680000	121.900000	0.058734	 to
121.900000	122.400000	0.605037	 lefty
122.400000	122.780000	0.923065	 So
122.780000	123.060000	0.952128	 where
123.060000	123.160000	0.916374	 we
123.160000	123.440000	0.777693	 going?
123.620000	124.000000	0.975090	 Brighton
124.000000	124.200000	0.958961	 Beach
124.200000	124.460000	0.880457	 So
124.460000	124.680000	0.984682	 what
124.680000	125.000000	0.965907	 shall
125.000000	125.300000	0.999273	 we
125.300000	125.560000	0.999475	 do?
125.680000	126.160000	0.977082	 Where
126.160000	126.740000	0.984427	 shall
126.740000	127.040000	0.998000	 we
127.040000	127.300000	0.998911	 be?
127.500000	127.800000	0.952945	 Let's
127.800000	127.920000	0.975232	 just
127.920000	128.140000	0.994521	 go
128.140000	128.380000	0.989465	 down
128.380000	128.800000	0.988520	 Brighton
128.800000	129.060000	0.911719	 Beach
129.060000	129.240000	0.581505	 And
129.240000	129.480000	0.986881	 draw
129.480000	130.160000	0.971203	 dicks
130.160000	130.340000	0.991119	 on
130.340000	130.920000	0.970376	 pebbles
130.920000	131.240000	0.958620	 Get
131.240000	131.740000	0.979536	 chips
131.740000	132.160000	0.970399	 and
132.160000	132.700000	0.992609	 ketchup
132.700000	133.220000	0.960573	 for
133.220000	133.460000	0.996056	 tea
133.460000	133.940000	0.978034	 Draw
133.940000	134.480000	0.998036	 dicks
134.480000	134.780000	0.997672	 on
134.780000	135.400000	0.999229	 pebbles
135.400000	135.900000	0.989804	 Down
135.900000	136.240000	0.999233	 by
136.240000	136.600000	0.998891	 the
136.600000	137.040000	0.996897	 sea
137.040000	137.540000	0.984741	 Draw
137.540000	138.000000	0.999145	 dicks
138.000000	138.240000	0.998935	 on
138.240000	138.940000	0.999521	 pebbles
139.120000	139.480000	0.991654	 You
139.480000	140.100000	0.995582	 and
140.100000	140.560000	0.995859	 me
141.460000	141.640000	0.552880	 Dicks
141.640000	141.900000	0.939495	 on
141.900000	142.540000	0.857603	 pebbles
142.540000	142.800000	0.010035	 And
142.800000	143.320000	0.957769	 chips
143.320000	143.720000	0.955270	 for
143.720000	143.900000	0.529140	 tea
146.500000	147.160000	0.699905	 Let's
147.160000	147.260000	0.986540	 just
147.260000	147.500000	0.958015	 go
147.500000	147.720000	0.980549	 down
147.720000	148.200000	0.959351	 Brighton
148.200000	148.400000	0.638777	 Beach
148.400000	148.620000	0.440545	 And
148.620000	148.860000	0.990230	 draw
148.860000	149.520000	0.961896	 dicks
149.520000	149.840000	0.985431	 on
149.840000	150.360000	0.996278	 pebbles
150.360000	150.660000	0.919556	 Get
150.660000	151.120000	0.984604	 chips
151.120000	151.620000	0.927055	 and
151.620000	152.000000	0.866185	 ketchup
152.000000	152.520000	0.804269	 for
152.520000	152.860000	0.990065	 tea
152.860000	153.260000	0.000022	 Draw
153.260000	153.520000	0.818219	 dicks
153.520000	153.740000	0.978295	 on
153.740000	153.980000	0.993296	 pebbles
153.980000	154.460000	0.283470	 Get
154.460000	154.740000	0.739089	 chips
154.740000	155.100000	0.976760	 and
155.100000	155.100000	0.979509	 ketchup
155.100000	155.540000	0.967688	 for
155.540000	155.760000	0.994049	 tea
155.760000	156.240000	0.172383	 Draw
156.240000	157.040000	0.960954	 dicks
157.040000	157.240000	0.993077	 on
157.240000	157.760000	0.997049	 pebbles
157.760000	157.960000	0.797198	 Get
157.960000	158.240000	0.853231	 chips
158.240000	158.700000	0.984320	 and
158.700000	158.700000	0.994702	 ketchup
158.700000	158.960000	0.984774	 for
158.960000	159.460000	0.996487	 tea
